Social- og Indenrigsministeriets Kommunale N(ø)gletal;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kom.nr;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indbyggertal 1. januar;;;;;;;;;;;;;;;;;;;;;;;;;;;
Langeland Kommune;482;14.995;15.164;14.938;14.877;14.750;14.646;14.563;14.446;14.386;14.299;14.223;14.120;13.937;13.741;13.563;13.510;13.322;13.094;12.861;12.695;12.647;12.547;12.578;12.641;12.560;12.491
Ærø Kommune;492;7.648;7.704;7.606;7.503;7.481;7.401;7.315;7.200;7.058;7.003;6.939;6.873;6.794;6.712;6.698;6.679;6.663;6.636;6.527;6.393;6.276;6.290;6.177;6.178;6.058;5.964
Haderslev Kommune (3);510;55.957;56.438;56.646;56.847;56.737;56.725;56.665;56.504;56.391;56.364;56.353;56.225;56.275;56.414;56.508;56.346;56.117;56.188;56.051;55.906;55.888;56.029;56.045;55.963;55.857;55.670
Billund Kommune;530;25.645;25.783;25.923;26.115;26.072;26.033;26.032;26.013;26.021;26.143;26.076;26.133;26.133;26.181;26.235;26.160;26.155;26.220;26.357;26.318;26.285;26.434;26.481;26.482;26.629;26.608
Sønderborg Kommune;540;75.039;75.007;75.128;75.290;75.590;75.519;75.474;75.667;76.003;76.236;76.459;76.598;76.825;76.913;76.793;76.439;76.193;76.094;75.732;75.264;74.937;74.737;74.801;74.650;74.561;74.220
Tønder Kommune (3);550;42.530;42.815;42.676;42.642;42.628;42.389;42.338;42.155;41.846;41.486;41.173;40.709;40.331;40.367;40.216;39.710;39.464;39.083;38.686;38.316;38.010;37.904;37.928;37.777;37.587;37.366
Esbjerg Kommune (3);561;114.582;115.127;115.036;115.186;115.316;115.251;115.066;114.810;114.731;114.797;114.756;114.416;114.148;114.244;114.595;115.114;115.184;115.112;115.051;115.095;115.446;115.748;115.905;116.032;115.652;115.483
Fanø Kommune;563;3.209;3.272;3.241;3.269;3.267;3.214;3.212;3.227;3.169;3.169;3.151;3.143;3.170;3.192;3.207;3.219;3.213;3.251;3.237;3.264;3.263;3.290;3.345;3.401;3.404;3.488
Varde Kommune (3);573;48.969;49.256;49.351;49.399;49.688;49.807;50.140;50.221;50.118;50.048;50.036;50.013;49.849;50.125;50.475;50.378;50.351;50.193;49.969;49.958;50.122;50.289;50.452;50.301;50.129;49.961
Vejen Kommune;575;40.226;40.602;40.794;40.863;40.948;40.985;40.867;41.061;41.139;41.272;41.350;41.551;41.882;42.447;42.807;42.768;42.683;42.785;42.700;42.667;42.601;42.869;42.822;42.844;42.863;42.742
